,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,Bachelors,2017,Bangalore,3,34,Male,No,0,0
3,Masters,2016,Bangalore,3,27,Male,No,5,1
5,Bachelors,2016,Bangalore,3,22,Male,No,0,0
7,Bachelors,2016,Bangalore,3,34,Female,No,2,1
10,Masters,2012,Bangalore,3,27,Male,No,5,1
13,Bachelors,2016,Bangalore,3,39,Male,No,2,0
14,Bachelors,2012,Bangalore,3,37,Male,No,4,0
15,Bachelors,2017,Bangalore,1,29,Male,No,3,0
16,Bachelors,2014,Bangalore,3,34,Female,No,2,0
20,Bachelors,2012,Bangalore,3,37,Male,No,0,0
23,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
24,Bachelors,2017,Bangalore,3,29,Male,No,4,0
25,Bachelors,2013,Bangalore,3,22,Female,Yes,0,0
26,Bachelors,2016,Bangalore,3,37,Male,No,2,0
27,Bachelors,2015,Bangalore,3,23,Male,No,1,0
31,Bachelors,2014,Bangalore,3,23,Male,No,1,0
32,Bachelors,2018,Bangalore,3,26,Male,No,4,1
33,Bachelors,2016,Bangalore,3,40,Male,No,5,0
35,Bachelors,2014,Bangalore,1,30,Female,No,3,0
40,Bachelors,2015,Bangalore,3,36,Male,No,1,0
42,Bachelors,2013,Bangalore,3,30,Male,No,3,1
43,Bachelors,2014,Bangalore,3,36,Male,No,0,0
45,Bachelors,2014,Bangalore,3,23,Female,No,1,0
49,Bachelors,2013,Bangalore,3,30,Female,No,1,0
52,Bachelors,2016,Bangalore,3,34,Female,No,0,0
53,Bachelors,2014,Bangalore,3,31,Female,Yes,5,0
56,Bachelors,2016,Bangalore,3,38,Male,No,2,0
61,Bachelors,2015,Bangalore,3,30,Male,No,5,0
62,PHD,2013,Bangalore,2,25,Male,No,3,1
64,Bachelors,2016,Bangalore,3,34,Male,No,4,0
65,Bachelors,2018,Bangalore,3,40,Male,No,1,1
66,PHD,2013,Bangalore,3,26,Male,No,4,0
68,Bachelors,2015,Bangalore,3,24,Female,No,2,0
69,Masters,2017,Bangalore,3,40,Female,No,2,1
70,Bachelors,2018,Bangalore,3,23,Female,No,1,1
71,Masters,2017,Bangalore,3,31,Male,No,4,0
73,Bachelors,2014,Bangalore,1,27,Male,No,5,0
75,Bachelors,2015,Bangalore,3,40,Male,No,0,1
76,Bachelors,2014,Bangalore,1,23,Female,No,1,0
77,Bachelors,2017,Bangalore,3,23,Female,No,1,0
78,Bachelors,2012,Bangalore,3,39,Male,No,1,0
81,Bachelors,2013,Bangalore,3,31,Female,No,0,1
82,Bachelors,2016,Bangalore,3,38,Male,No,5,0
83,Bachelors,2017,Bangalore,3,25,Female,No,3,0
84,Bachelors,2015,Bangalore,3,27,Female,Yes,5,1
88,Bachelors,2014,Bangalore,3,28,Male,No,4,0
90,Bachelors,2018,Bangalore,3,30,Male,No,0,1
94,Bachelors,2014,Bangalore,3,39,Male,No,3,1
95,PHD,2018,Bangalore,3,26,Male,No,4,1
96,Bachelors,2016,Bangalore,3,31,Female,No,0,0
97,Bachelors,2014,Bangalore,3,27,Male,No,5,1
98,Bachelors,2014,Bangalore,3,29,Female,No,0,0
99,Bachelors,2015,Bangalore,3,24,Female,No,2,1
107,Bachelors,2017,Bangalore,3,28,Male,No,1,0
109,Bachelors,2015,Bangalore,2,25,Female,No,3,1
110,Bachelors,2015,Bangalore,3,27,Female,No,5,0
112,Bachelors,2013,Bangalore,3,27,Male,No,5,1
113,Bachelors,2012,Bangalore,3,25,Male,No,3,0
116,Bachelors,2015,Bangalore,3,28,Male,No,2,0
118,Bachelors,2017,Bangalore,3,26,Female,No,4,0
120,Bachelors,2012,Bangalore,1,28,Female,No,3,0
123,Bachelors,2012,Bangalore,3,26,Male,No,4,1
124,Bachelors,2014,Bangalore,3,28,Female,No,3,0
126,Bachelors,2013,Bangalore,3,28,Male,No,1,0
128,Bachelors,2018,Bangalore,3,25,Male,No,3,1
130,Bachelors,2017,Bangalore,3,26,Female,No,4,0
131,Bachelors,2013,Bangalore,3,28,Male,No,1,1
133,Masters,2017,Bangalore,3,26,Male,No,4,0
139,Bachelors,2013,Bangalore,3,26,Male,No,4,0
143,Bachelors,2016,Bangalore,3,26,Male,No,4,0
144,Bachelors,2013,Bangalore,3,27,Female,No,5,0
146,Bachelors,2014,Bangalore,3,25,Male,No,3,0
148,Masters,2013,Bangalore,1,25,Male,No,3,1
151,Bachelors,2016,Bangalore,3,24,Male,No,2,1
153,Bachelors,2014,Bangalore,3,26,Male,No,4,0
156,Bachelors,2013,Bangalore,3,28,Female,No,3,0
157,Bachelors,2012,Bangalore,3,24,Male,No,2,1
158,Bachelors,2015,Bangalore,3,25,Male,No,3,1
159,Bachelors,2016,Bangalore,3,28,Male,No,3,0
160,Bachelors,2014,Bangalore,3,28,Female,No,3,0
161,Bachelors,2013,Bangalore,3,26,Female,No,4,0
163,Bachelors,2016,Bangalore,3,25,Male,No,3,1
164,Bachelors,2015,Bangalore,3,25,Male,No,3,0
165,Bachelors,2014,Bangalore,3,27,Male,No,5,0
166,Bachelors,2012,Bangalore,3,24,Male,No,2,0
167,Bachelors,2014,Bangalore,3,25,Male,No,3,0
168,Bachelors,2015,Bangalore,3,28,Male,No,3,0
173,Bachelors,2014,Bangalore,3,27,Female,No,5,0
174,Bachelors,2013,Bangalore,3,26,Male,No,4,0
175,Bachelors,2016,Bangalore,3,26,Male,No,4,0
176,Bachelors,2012,Bangalore,3,25,Male,No,3,0
177,Bachelors,2015,Bangalore,3,25,Male,No,3,0
179,Bachelors,2012,Bangalore,3,27,Male,No,5,1
182,Bachelors,2018,Bangalore,3,24,Male,No,2,1
189,Bachelors,2013,Bangalore,2,27,Male,No,5,0
190,Bachelors,2015,Bangalore,3,26,Male,No,4,0
191,Bachelors,2015,Bangalore,3,26,Male,No,4,0
192,Bachelors,2013,Bangalore,3,28,Male,No,1,0
193,Bachelors,2015,Bangalore,3,27,Female,No,5,0
198,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0
201,Bachelors,2014,Bangalore,3,25,Male,No,3,0
202,Bachelors,2017,Bangalore,3,27,Male,No,5,0
206,Bachelors,2017,Bangalore,3,25,Male,No,3,0
208,Masters,2017,Bangalore,3,28,Male,No,2,0
209,Bachelors,2012,Bangalore,3,25,Male,No,3,1
210,Bachelors,2017,Bangalore,3,27,Male,No,5,0
212,Masters,2013,Bangalore,2,28,Female,No,2,1
214,Bachelors,2018,Bangalore,3,27,Female,No,5,1
220,Bachelors,2016,Bangalore,3,25,Male,No,3,1
222,Bachelors,2018,Bangalore,3,28,Female,No,2,1
223,Bachelors,2013,Bangalore,3,27,Male,No,5,0
227,Bachelors,2018,Bangalore,3,25,Male,No,3,1
232,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
233,Bachelors,2018,Bangalore,3,24,Male,No,2,1
235,Bachelors,2015,Bangalore,3,24,Male,No,2,0
237,Masters,2017,Bangalore,2,26,Female,No,4,1
243,Bachelors,2014,Bangalore,3,25,Female,No,3,1
244,Bachelors,2014,Bangalore,3,25,Male,No,3,0
246,Bachelors,2015,Bangalore,3,28,Male,No,2,1
247,Bachelors,2015,Bangalore,3,27,Male,No,5,0
250,Bachelors,2016,Bangalore,1,28,Female,No,2,0
251,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
252,Bachelors,2014,Bangalore,3,27,Male,No,5,0
253,Bachelors,2017,Bangalore,3,28,Male,No,2,0
260,Bachelors,2017,Bangalore,3,28,Male,No,1,0
262,Masters,2018,Bangalore,3,24,Male,No,2,1
264,Bachelors,2016,Bangalore,3,26,Male,No,4,0
267,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
268,Bachelors,2013,Bangalore,3,24,Male,Yes,2,1
269,Bachelors,2018,Bangalore,3,26,Female,No,4,1
274,Bachelors,2018,Bangalore,3,28,Female,Yes,1,1
276,Bachelors,2012,Bangalore,3,25,Male,No,3,0
277,Bachelors,2014,Bangalore,3,28,Male,No,1,0
280,Bachelors,2014,Bangalore,3,25,Male,No,3,0
284,PHD,2014,Bangalore,3,24,Female,No,2,0
286,Bachelors,2018,Bangalore,3,26,Male,No,4,1
287,Bachelors,2012,Bangalore,3,26,Male,No,4,0
289,Bachelors,2018,Bangalore,3,26,Male,No,4,1
290,Bachelors,2016,Bangalore,3,24,Male,No,2,0
295,Bachelors,2015,Bangalore,3,26,Female,Yes,4,1
297,Bachelors,2016,Bangalore,3,24,Female,No,2,1
298,Bachelors,2012,Bangalore,3,28,Male,No,3,0
299,Bachelors,2012,Bangalore,3,27,Male,No,5,0
300,Bachelors,2013,Bangalore,3,26,Male,No,4,0
309,Bachelors,2016,Bangalore,3,24,Male,No,2,0
311,Bachelors,2017,Bangalore,3,24,Female,No,2,0
313,Bachelors,2017,Bangalore,1,25,Male,No,3,0
319,Bachelors,2016,Bangalore,3,27,Male,No,5,0
320,Bachelors,2017,Bangalore,3,28,Female,No,2,0
323,Bachelors,2013,Bangalore,3,26,Male,No,4,0
325,Bachelors,2017,Bangalore,3,28,Male,No,1,0
328,Bachelors,2013,Bangalore,3,28,Male,No,2,1
329,Bachelors,2017,Bangalore,3,24,Male,No,2,0
332,Bachelors,2015,Bangalore,3,24,Female,No,2,0
335,Bachelors,2018,Bangalore,3,24,Female,No,2,1
336,Bachelors,2013,Bangalore,3,27,Female,No,5,0
337,Bachelors,2013,Bangalore,3,24,Male,Yes,2,0
338,Bachelors,2013,Bangalore,3,24,Female,No,2,0
339,Bachelors,2013,Bangalore,3,27,Male,No,5,0
340,Bachelors,2017,Bangalore,3,26,Female,No,4,0
341,Bachelors,2015,Bangalore,3,24,Female,No,2,0
343,Bachelors,2016,Bangalore,3,24,Male,Yes,2,1
344,Bachelors,2012,Bangalore,3,28,Male,No,3,0
351,Bachelors,2016,Bangalore,3,25,Male,No,3,1
353,Bachelors,2017,Bangalore,3,28,Male,No,2,0
354,Bachelors,2012,Bangalore,3,25,Male,No,3,0
355,Bachelors,2017,Bangalore,3,25,Female,Yes,3,0
361,Bachelors,2016,Bangalore,3,27,Male,No,5,0
364,Masters,2017,Bangalore,1,26,Female,No,4,1
366,Bachelors,2015,Bangalore,3,24,Male,No,2,0
368,Bachelors,2014,Bangalore,3,25,Female,No,3,0
369,Bachelors,2014,Bangalore,3,28,Male,No,2,0
370,Bachelors,2017,Bangalore,3,28,Male,No,3,0
373,Masters,2018,Bangalore,3,25,Male,Yes,3,1
374,Bachelors,2016,Bangalore,3,28,Female,No,3,0
377,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
378,Bachelors,2014,Bangalore,3,26,Male,No,4,0
379,Bachelors,2014,Bangalore,3,24,Male,No,2,0
380,Bachelors,2016,Bangalore,3,28,Male,No,2,0
383,Bachelors,2015,Bangalore,3,28,Male,No,3,0
384,Bachelors,2014,Bangalore,3,26,Male,No,4,0
385,Bachelors,2012,Bangalore,3,24,Male,No,2,0
386,Bachelors,2013,Bangalore,3,27,Male,No,5,0
387,Bachelors,2015,Bangalore,3,26,Female,Yes,4,1
390,Bachelors,2013,Bangalore,3,24,Male,No,2,0
391,Bachelors,2018,Bangalore,3,28,Male,Yes,3,1
394,Bachelors,2016,Bangalore,3,25,Male,No,3,1
395,PHD,2013,Bangalore,3,25,Male,No,3,0
396,Bachelors,2014,Bangalore,3,25,Male,No,3,0
400,Bachelors,2014,Bangalore,3,27,Male,No,5,0
403,Bachelors,2015,Bangalore,3,26,Male,No,4,0
404,Bachelors,2012,Bangalore,3,26,Female,No,4,0
405,Bachelors,2015,Bangalore,3,24,Male,No,2,0
407,Bachelors,2015,Bangalore,3,28,Male,No,2,0
409,Bachelors,2016,Bangalore,3,26,Female,No,4,0
414,Masters,2015,Bangalore,2,26,Female,No,4,1
418,Bachelors,2016,Bangalore,3,24,Male,No,2,0
422,Bachelors,2016,Bangalore,3,27,Male,No,5,0
424,Bachelors,2012,Bangalore,3,27,Male,No,5,0
427,Bachelors,2013,Bangalore,3,26,Female,No,4,0
436,Masters,2014,Bangalore,3,26,Male,No,4,1
438,Bachelors,2017,Bangalore,3,26,Male,No,4,0
440,Bachelors,2017,Bangalore,3,27,Male,No,5,0
441,Bachelors,2016,Bangalore,3,25,Male,No,3,1
444,Bachelors,2017,Bangalore,3,28,Male,No,1,0
446,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
449,Bachelors,2017,Bangalore,3,26,Male,No,4,0
451,Bachelors,2016,Bangalore,3,24,Male,No,2,0
452,Bachelors,2014,Bangalore,3,25,Female,No,3,0
455,Bachelors,2013,Bangalore,3,27,Male,No,5,0
456,Bachelors,2015,Bangalore,3,25,Male,No,3,0
457,Bachelors,2016,Bangalore,3,26,Male,No,4,0
459,Bachelors,2012,Bangalore,3,26,Male,No,4,0
462,Bachelors,2014,Bangalore,1,25,Male,Yes,3,0
463,Bachelors,2018,Bangalore,3,28,Male,No,1,1
464,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
465,Masters,2013,Bangalore,3,28,Female,Yes,2,1
466,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
468,Bachelors,2012,Bangalore,3,25,Male,No,3,0
471,Bachelors,2014,Bangalore,3,28,Male,No,3,1
481,Bachelors,2017,Bangalore,3,24,Male,No,2,0
483,Bachelors,2012,Bangalore,3,26,Female,No,4,0
484,Bachelors,2012,Bangalore,3,24,Male,No,2,1
492,Bachelors,2017,Bangalore,3,24,Female,No,2,0
493,Bachelors,2016,Bangalore,3,27,Male,No,5,0
494,Bachelors,2017,Bangalore,3,25,Female,No,3,0
496,Bachelors,2016,Bangalore,3,27,Male,No,5,0
497,Bachelors,2016,Bangalore,3,28,Female,No,3,0
499,Bachelors,2013,Bangalore,3,26,Male,Yes,4,1
502,Bachelors,2012,Bangalore,3,25,Male,Yes,3,0
507,Bachelors,2013,Bangalore,3,27,Male,No,5,1
509,Bachelors,2018,Bangalore,3,28,Male,No,2,1
510,Bachelors,2016,Bangalore,3,24,Male,No,2,0
511,Bachelors,2012,Bangalore,3,24,Male,Yes,2,0
512,Bachelors,2015,Bangalore,3,28,Female,No,1,0
513,Bachelors,2014,Bangalore,3,24,Male,No,2,0
516,Bachelors,2012,Bangalore,3,25,Female,No,3,0
519,Bachelors,2014,Bangalore,3,27,Male,No,5,1
520,Bachelors,2016,Bangalore,3,27,Female,No,5,0
522,Masters,2014,Bangalore,3,24,Female,No,2,1
523,Bachelors,2013,Bangalore,3,25,Male,No,3,0
525,Bachelors,2015,Bangalore,3,25,Male,No,3,0
526,Bachelors,2017,Bangalore,3,24,Male,No,2,0
528,Bachelors,2016,Bangalore,3,28,Male,No,2,0
532,Bachelors,2014,Bangalore,3,28,Male,No,3,1
533,Bachelors,2014,Bangalore,3,25,Male,No,3,1
537,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
